SPECIES,ANNOTATION COUNT,PRECISION,RECALL,F1
Oporornis agilis,235,0.8611111111,0.9207920792,0.8899521531
Nyctidromus albicollis,196,0.5242718447,0.5242718447,0.5242718447
Nyctibius griseus,194,0.5882352941,0.8695652174,0.701754386
Turdus lawrencii,188,0.8504442378,0.6486486486,0.7359644096
Myiodynastes luteiventris,170,0.09395973154,1,0.1717791411
Piranga leucoptera,147,0.8965163773,0.825,0.8592726982
Liosceles thoracicus,145,0.2459016393,0.9677419355,0.3921568627
Tinamus tao,133,0.750575553,0.8641975309,0.8033890905
Grallaria guatimalensis,66,1,1,1
Mecocerculus leucophrys,54,1,1,1
Turdus ignobilis,127,0.7242890694,0.5230769231,0.6074542679
Phyllomyias uropygialis,125,0.4598888719,0.9423076923,0.6181113728
Synallaxis albigularis,52,0.9896785567,1,0.9948125071
Coccyzus erythropthalmus,53,0.986536676,1,0.9932227156
Psarocolius bifasciatus,119,0.8416167223,0.7636363636,0.800732469
Progne subis,117,0.325864863,0.9736842105,0.4883070263
Mycteria americana,130,1,0.9842519685,0.9920634921
Setophaga cerulea,111,0.5161290323,0.8888888889,0.6530612245
Akletos melanoceps,110,0.8133333333,0.9384615385,0.8714285714
Neoctantes niger,57,0.9836987071,1,0.9917823746
Phaethornis guy,55,0.9823182711,1,0.9910802775
Cacicus chrysonotus,105,0.5315212624,0.8113207547,0.6422709839
Psarocolius angustifrons,104,0.8178770917,0.8245614035,0.8212056459
Molothrus bonariensis,104,0.6666666667,0.5454545455,0.6
Hemitriccus griseipectus,80,0.9907996256,0.8205128205,0.8976516416
Tinamus major,100,0.8372093023,0.7346938776,0.7826086957
Chlorestes notata,58,0.9886632557,0.9827586207,0.9857020957
Patagioenas subvinacea,67,0.96875,1,0.9841269841
Himantopus mexicanus,59,0.984523974,0.9827586207,0.9836405053
Uropsalis lyra,93,0.7734000917,0.9107142857,0.8364592353
Turdus amaurochalinus,92,0.3167070013,0.9333333333,0.4729338614
Myiopagis gaimardii,91,0.7442489851,0.7857142857,0.7644197359
Zebrilus undulatus,91,0.4848484848,0.9142857143,0.6336633663
Phaethornis malaris,115,0.9871794872,0.6814159292,0.8062827225
Geothlypis aequinoctialis,86,0.9857142857,0.8625,0.92
Cymbilaimus lineatus,86,0.6550742781,0.8888888889,0.7542773813
Crypturellus cinereus,56,1,0.9636363636,0.9814814815
Patagioenas fasciata,82,0.8928571429,0.9259259259,0.9090909091
Campephilus melanoleucos,50,0.9782263127,0.9756097561,0.9769162823
Hafferia fortis,78,0.82,0.9111111111,0.8631578947
Trichothraupis melanops,78,0.4110145199,1,0.5825801423
Penelope jacquacu,61,0.9540101322,1,0.976463854
Celeus grammicus,76,0.8739730816,0.8695652174,0.8717635777
Ramphastos tucanus,105,0.9831023205,0.9805825243,0.9818408057
Vireolanius leucotis,61,0.9862525543,0.9636363636,0.9748132997
Progne tapera,74,0.8732165217,0.8545454545,0.8637801036
Dendrocolaptes certhia,74,0.8497350725,0.75,0.7967585575
Setophaga striata,74,0.5925391591,0.8518518519,0.6989181962
Cymbilaimus sanctaemariae,66,0.9487179487,1,0.9736842105
Paroaria gularis,73,0.8962957776,0.4210526316,0.5729504711
Lepidothrix coronata,73,0.8336889745,0.7924528302,0.8125480637
Tolmomyias assimilis,73,0.6875,0.6875,0.6875
Hylexetastes stresemanni,73,0.421875,0.9310344828,0.5806451613
Buteo albigula,50,0.9714285714,0.9714285714,0.9714285714
Sirystes albocinereus,54,0.962962781,0.98,0.9714066935
Psarocolius atrovirens,72,0.7352941176,0.7142857143,0.7246376812
Vireo olivaceus,100,0.9824194598,0.9285714286,0.9547367775
Hydropsalis torquata,64,0.9703209254,0.9672131148,0.9687645276
Rupicola peruvianus,120,0.9705882353,0.9428571429,0.9565217391
Tyrannus tyrannus,83,0.9648363867,1,0.9821035413
Catamenia homochroa,90,0.9527779432,0.8311688312,0.8878284272
Cranioleuca marcapatae,54,0.9820095844,0.9433962264,0.9623157165
Trogon ramonianus,70,0.8666666667,0.6341463415,0.7323943662
Tangara gyrola,70,0.8107841598,0.74,0.77377664
Sporophila castaneiventris,70,0.8091725664,0.7254901961,0.7650498575
Cercomacra manu,70,0.7820646507,0.9545454545,0.8597396217
Haplospiza rustica,105,0.950750076,0.8285714286,0.8854660011
Threnetes leucurus,97,0.9442878164,0.8705882353,0.9059416073
Myiopagis caniceps,69,0.8931307084,0.5769230769,0.7010188628
Helicolestes hamatus,69,0.8160351946,1,0.8986997576
Pseudotriccus ruficeps,69,0.5588235294,0.7037037037,0.6229508197
Hemitriccus rufigularis,64,0.9529639495,0.9642857143,0.9585914032
Catharus minimus,50,1,0.92,0.9583333333
Drymophila devillei,50,0.9189189189,1,0.9577464789
Iridosornis analis,68,0.8414675194,0.8695652174,0.8552856654
Pipreola arcuata,68,0.7999587118,0.8611111111,0.8294092466
Chiroxiphia pareola,68,0.2521432725,0.7272727273,0.3744617722
Sclerurus caudacutus,67,0.9768168794,0.9375,0.9567546881
Philydor pyrrhodes,95,0.941339675,0.5352112676,0.6824222398
Colibri delphinae,98,0.9400889167,0.9651162791,0.9524382143
Myrmotherula iheringi,124,0.9373280293,0.8952380952,0.9157997066
Nyctipolus nigrescens,51,0.975,0.9285714286,0.9512195122
Micrastur ruficollis,51,0.9809666698,0.92,0.9495056916
Thamnophilus palliatus,66,0.8363397835,0.85,0.8431145644
Picumnus aurifrons,66,0.756097561,0.7948717949,0.775
Piranga olivacea,129,0.9333333333,0.9032258065,0.9180327869
Myiotriccus ornatus,76,0.9852294856,0.9130434783,0.947763966
Myrmotherula brachyura,65,0.8235294118,0.8484848485,0.8358208955
Trogon collaris,59,0.9310344828,0.9642857143,0.9473684211
Schiffornis turdina,53,0.9310344828,0.9642857143,0.9473684211
Daptrius ater,64,0.8883449147,0.9,0.8941344778
Myrmotherula sclateri,64,0.8484848485,0.5957446809,0.7
Cnipodectes subbrunneus,64,0.7666666667,0.8214285714,0.7931034483
Xiphorhynchus triangularis,64,0.6944357372,0.7142857143,0.704220875
Pharomachrus auriceps,57,0.9735320961,0.9210526316,0.9465655306
Thamnophilus murinus,63,0.8680530236,0.7380952381,0.7978165135
Zenaida auriculata,63,0.8108108108,0.9677419355,0.8823529412
Ara chloropterus,63,0.5004407291,0.8461538462,0.6289195805
Myiozetetes granadensis,54,0.9336043379,0.9545454545,0.9439587692
Calidris himantopus,62,0.9560229446,0.9285714286,0.9420972534
Crypturellus obsoletus,62,0.8928571429,0.78125,0.8333333333
Sayornis nigricans,51,0.9803138457,0.9,0.9384417002
Todirostrum chrysocrotaphum,65,0.9454441289,0.9310344828,0.9381839794
Thamnophilus ruficapillus,51,0.9107025058,0.962962963,0.9361039075
Tolmomyias poliocephalus,60,0.7106822245,0.8095238095,0.7568897489
Sporophila bouvronides,60,0.6295155681,0.8235294118,0.7135699069
Celeus torquatus,60,0.5742484147,0.4285714286,0.4908288664
Myrmotherula multostriata,57,0.90625,0.9666666667,0.935483871
Myiarchus ferox,68,0.9853348354,0.8888888889,0.9346303493
Chaetura pelagica,75,0.9161566817,0.9538461538,0.9346216065
Pulsatrix melanota,59,0.7719599532,0.7419354839,0.756649987
Microrhopias quixensis,59,0.6034482759,1,0.752688172
Trogon curucui,68,0.9545454545,0.9130434783,0.9333333333
Cercomacroides serva,50,0.9339551053,0.9318181818,0.9328854198
Tyrannopsis sulphurea,58,0.8108108108,1,0.8955223881
Saltator maximus,58,0.6862745098,0.9210526316,0.7865168539
Phrygilus fruticeti,52,0.9444323029,0.9117647059,0.9278110425
Vireo flavoviridis,69,0.972436796,0.8787878788,0.9232436028
Phyllomyias plumbeiceps,54,0.9286357497,0.9166666667,0.922612391
Capito auratus,62,0.9651611373,0.8813559322,0.9213567618
Calidris bairdii,57,0.8900316456,0.9574468085,0.9225092251
Zonotrichia capensis,57,0.8571428571,0.8571428571,0.8571428571
Sclateria naevia,57,0.8155010779,0.95,0.8776273588
Pachyramphus marginatus,57,0.6721255653,0.9166666667,0.7755766791
Rhegmatorhina melanosticta,57,0.6333333333,0.6333333333,0.6333333333
Attila bolivianus,50,0.9534883721,0.8913043478,0.9213483146
Scytalopus schulenbergi,74,0.9750966632,0.9545454545,0.9647116209
Ramphocelus nigrogularis,58,0.9890198611,0.8596491228,0.9198077789
Spinus olivaceus,56,0.8327331653,0.8222222222,0.8274443152
Myiopagis viridicata,56,0.5593549395,0.8333333333,0.6693947602
Donacobius atricapilla,55,0.9648083355,0.8775510204,0.9191133495
Poecilotriccus latirostris,50,0.9189189189,0.9189189189,0.9189189189
Chamaepetes goudotii,52,0.9085464519,0.9285714286,0.918449802
Nyctiphrynus ocellatus,73,0.9565745933,0.9850746269,0.9706154446
Cranioleuca gutturata,69,0.9291056874,0.9056603774,0.917233236
Contopus virens,63,0.9630142346,0.875,0.9168998144
Synallaxis albescens,72,0.9733456195,1,0.9864927967
Crypturellus soui,55,0.9,0.9230769231,0.9113924051
Micrastur semitorquatus,55,0.8152807608,0.9487179487,0.8769524454
Pipra fasciicauda,55,0.7442283541,0.8947368421,0.8125718946
Notharchus hyperrhynchus,55,0.6666776096,0.88,0.7586277745
Psarocolius decumanus,55,0.6071428571,0.85,0.7083333333
Xiphorhynchus guttatus,55,0.5687973998,0.75,0.6469500924
Dryocopus lineatus,56,0.9265693769,0.8888888889,0.9073380969
Sclerurus albigularis,72,0.9626777251,0.9558823529,0.9592680047
Myiodynastes maculatus,52,0.9534453221,0.86,0.9043150814
Phlegopsis erythroptera,55,0.9045227709,0.9,0.9022557176
Crypturellus strigulosus,59,0.9473684211,0.8571428571,0.9
Tolmomyias sulphurescens,71,0.9786517984,0.7894736842,0.8739423174
Spizaetus isidori,54,0.875,0.7777777778,0.8235294118
Rhytipterna simplex,54,0.7904826917,0.85,0.8191616911
Turdus albicollis,54,0.7350979939,0.972972973,0.8374716208
Pilherodius pileatus,54,0.4705882353,0.4210526316,0.4444444444
Baryphthengus martii,66,0.92,0.8679245283,0.8932038835
Progne elegans,51,0.9024390244,0.880952381,0.8915662651
Iodopleura isabellae,53,0.9411764706,0.8421052632,0.8888888889
Attila cinnamomeus,71,0.9739843202,0.9253731343,0.9490566623
Xiphocolaptes promeropirhynchus,53,0.88,0.6470588235,0.7457627119
Ramphocelus carbo,71,0.9608043305,0.9692307692,0.9649991551
Lophostrix cristata,55,0.9333333333,0.8235294118,0.875
Micropygia schomburgkii,70,0.9789517017,0.9558823529,0.9672794975
Myrmotherula schisticolor,55,0.9785844052,0.7674418605,0.8602466656
Ara macao,55,0.9296036361,0.7872340426,0.8525158057
Pheugopedius coraya,52,0.8524162827,0.88,0.8659885459
Platyrinchus platyrhynchos,52,0.8383822921,0.9444444444,0.8882584963
Myiobius villosus,52,0.5393080966,0.6086956522,0.5719049157
Patagioenas cayennensis,68,0.9469906674,0.7538461538,0.839451808
Pipreola intermedia,51,0.9285714286,0.7647058824,0.8387096774
Catharus fuscescens,65,0.9545454545,0.7368421053,0.8316831683
Hypocnemoides maculicauda,56,0.9478331674,0.7391304348,0.8305719699
Streptoprocne zonaris,54,0.9043898707,0.75,0.819991001
Aeronautes montivagus,60,0.9215007815,0.7234042553,0.8105240992
Patagioenas speciosa,51,0.8932474217,0.652173913,0.7539078868
Lamprospiza melanoleuca,51,0.8261408353,0.9047619048,0.8636658068
Dendrexetastes rufigula,51,0.7368421053,0.7777777778,0.7567567568
Turdus leucomelas,70,0.9713290461,0.9508196721,0.9609649413
Milvago chimachima,55,0.9190026779,0.652173913,0.7629308838
Tachybaptus dominicus,52,0.9161983875,0.652173913,0.7619628162
Terenotriccus erythrurus,67,0.9290184545,0.6,0.729109673
Grallaria eludens,57,1,0.55,0.7096774194
Clibanornis rubiginosus,70,0.9669571848,0.9852941176,0.9760395345
Tangara chrysotis,53,1,0.44,0.6111111111
Cathartes aura,50,0.9172781855,0.22,0.3548845012
Odontophorus speciosus,50,0.8720540734,0.7441860465,0.8030619525
Xiphorhynchus ocellatus,50,0.8647369379,0.95,0.9053654817
Arundinicola leucocephala,50,0.3575033647,1,0.5267071508
Chlorospingus flavopectus,49,1,0.9583333333,0.9787234043
Tachyphonus phoenicius,49,1,0.4081632653,0.5797101449
Lochmias nematura,49,0.9777777778,0.9565217391,0.967032967
Tangara xanthocephala,49,0.9722222222,0.6363636364,0.7692307692
Pionus menstruus,49,0.9642857143,0.6,0.7397260274
Elanus leucurus,49,0.9583333333,0.9787234043,0.9684210526
Elaenia albiceps,49,0.8886719955,0.975,0.9298365782
Circus cinereus,49,0.8469338215,0.88,0.8631503462
Setophaga pitiayumi,49,0.8333333333,0.8333333333,0.8333333333
Formicarius rufifrons,49,0.7895187006,1,0.8823810563
Nystalus striolatus,49,0.786882666,0.8333333333,0.8094421426
Myadestes ralloides,49,0.7777777778,0.65625,0.7118644068
Nomonyx dominicus,48,0.9285714286,0.7878787879,0.8524590164
Mionectes oleagineus,48,0.8981594748,0.9756097561,0.9352839525
Rhynchocyclus olivaceus,48,0.8,0.5454545455,0.6486486486
Accipiter poliogaster,48,0.6457167456,0.8571428571,0.7365578198
Spinus magellanicus,47,1,0.9761904762,0.9879518072
Forpus xanthopterygius,47,0.9523809524,1,0.9756097561
Falco sparverius,47,0.9272708966,0.8918918919,0.9092373695
Cyanocorax violaceus,47,0.9125887924,0.9487179487,0.9303027255
Premnoplex brunnescens,47,0.8303677343,0.9032258065,0.8652657602
Sterna hirundo,47,0.7954545455,0.9722222222,0.875
Sarcoramphus papa,47,0.1314405889,0.25,0.172294969
Ramphotrigon ruficauda,46,0.95,0.9047619048,0.9268292683
Pteroglossus azara,46,0.945394384,0.8863636364,0.9149278395
Phaeomyias murina,46,0.9252626552,0.8378378378,0.8793827301
Myrmotherula menetriesii,46,0.92,0.92,0.92
Spizaetus melanoleucus,46,0.9166666667,1,0.9565217391
Hemitriccus cohnhafti,46,0.9166666667,0.25,0.3928571429
Myiarchus swainsoni,46,0.7869147601,0.7857142857,0.7863140647
Momotus aequatorialis,46,0.7773562599,0.6956521739,0.7342382565
Phalaropus tricolor,46,0.2820512821,0.9166666667,0.431372549
Tapera naevia,45,0.9736842105,0.880952381,0.925
Contopus nigrescens,45,0.9667616924,0.9756097561,0.9711655715
Syndactyla striata,45,0.9615384615,0.8,0.8733624454
Sporophila plumbea,45,0.8461538462,0.3142857143,0.4583333333
Pheucticus aureoventris,45,0.7483173489,0.7333333333,0.740749574
Laniisoma elegans,45,0.6666666667,1,0.8
Xiphorhynchus obsoletus,45,0.5451713396,1,0.7056451613
Piculus leucolaemus,45,0.4545454545,0.8333333333,0.5882352941
Chiroxiphia boliviana,44,0.9828576763,1,0.9913547382
Grallaricula leymebambae,44,0.9784561287,0.8888888889,0.9315244616
Amblycercus holosericeus,44,0.9757477122,0.8837209302,0.9274570769
Legatus leucophaius,44,0.9599213333,1,0.9795508799
Ara militaris,44,0.9456536461,0.8275862069,0.8826892907
Tersina viridis,44,0.9230260753,0.8205128205,0.8687557591
Cyclarhis gujanensis,44,0.9090909091,0.75,0.8219178082
Parabuteo unicinctus,44,0.8281347898,0.9047619048,0.8647541567
Syndactyla ucayalae,44,0.8217324053,0.68,0.7441779023
Lepidocolaptes fuscicapillus,44,0.7907594114,0.3333333333,0.4689763753
Picumnus subtilis,44,0.7037037037,0.76,0.7307692308
Arremon castaneiceps,43,1,1,1
Pipreola frontalis,43,1,0.8611111111,0.9253731343
Scytalopus simonsi,43,0.9798627988,0.9756097561,0.9777316524
Synallaxis gujanensis,43,0.9734778001,0.8571428571,0.9116138176
Piaya melanogaster,43,0.9668935644,0.78125,0.8642146018
Conopophaga peruviana,43,0.9,0.8709677419,0.8852459016
Herpsilochmus axillaris,43,0.8947319163,0.8421052632,0.8676212886
Synallaxis rutilans,43,0.8258738278,0.8611111111,0.843124456
Cnipodectes superrufus,43,0.7239538389,1,0.8398761296
Ramphocaenus melanurus,42,1,0.75,0.8571428571
Monasa nigrifrons,42,0.9848905807,0.9024390244,0.9418637766
Myrmothera campanisona,42,0.952401109,0.8333333333,0.8888976681
Euchrepomis humeralis,42,0.9169397746,0.8064516129,0.8581539464
Bucco tamatia,42,0.9031077844,0.8888888889,0.8959419255
Piprites chloris,42,0.7605198646,0.9,0.824401915
Sciaphylax hemimelaena,42,0.7407407407,0.9523809524,0.8333333333
Phaethornis hispidus,41,1,1,1
Catharus fuscater,41,0.9798189743,0.975,0.9774035473
Mitu tuberosum,41,0.9700176367,0.6111111111,0.7498295842
Dendrocolaptes picumnus,41,0.962962963,0.9285714286,0.9454545455
Ramphocaenus sticturus,41,0.9465416033,0.9117647059,0.928827742
Thripadectes scrutator,41,0.9136995992,0.96875,0.940419852
Odontophorus gujanensis,41,0.9089046279,0.7567567568,0.8258818086
Mionectes macconnelli,41,0.8763808906,0.9444444444,0.9091405391
Accipiter superciliosus,41,0.8725994678,1,0.9319659466
Myiothlypis chrysogaster,41,0.8065903345,0.9393939394,0.8679414622
Orthopsittaca manilatus,41,0.801160793,0.9375,0.8639847939
Falco femoralis,41,0.5319763995,0.9090909091,0.6711898962
Spizaetus ornatus,40,1,0.9166666667,0.9565217391
Corythopis torquatus,40,1,0.8235294118,0.9032258065
Tangara velia,40,0.9819900301,0.875,0.9254129127
Tangara nigroviridis,40,0.9727072985,0.6842105263,0.8033428848
Amazona ochrocephala,40,0.933513121,0.9459459459,0.9396884113
Micrastur gilvicollis,40,0.8684210526,1,0.9295774648
Myiarchus tyrannulus,40,0.8301748043,0.8709677419,0.8500821713
Thamnophilus aethiops,40,0.801723706,0.9642857143,0.875522755
Busarellus nigricollis,40,0.7741935484,0.8571428571,0.813559322
Trogon rufus,40,0.7037037037,0.8260869565,0.76
Chlorospingus canigularis,39,1,0.9743589744,0.987012987
Bolborhynchus orbygnesius,39,0.9714813861,0.9189189189,0.9444694044
Myiothlypis fulvicauda,39,0.9710087842,0.8787878788,0.9225995125
Bucco macrodactylus,39,0.9604519774,0.9189189189,0.9392265193
Sporophila schistacea,39,0.8636363636,0.8260869565,0.8444444444
Asthenes urubambensis,39,0.8537755718,0.7857142857,0.8183321909
Buteo nitidus,39,0.7886435331,0.7777777778,0.7831729693
Odontorchilus branickii,39,0.6731616245,0.5714285714,0.6181372579
Calidris pusilla,39,0.5544354839,0.6875,0.6138392857
Catamblyrhynchus diadema,38,1,0.8947368421,0.9444444444
Panyptila cayennensis,38,1,0.5151515152,0.68
Pionites leucogaster,38,0.9545454545,0.7,0.8076923077
